name,text
ソアヴェ・クラシコ,丘陵地、単一品種でのワイン造りにこだわる「最高品質のソアヴェ」生産者。様々な丘の斜面にある畑で収穫されたガルガーネガ100%で造られるキュヴェです。瑞々しさが魅力で、生産者が「出かけるためのワイン」と表現するほど気軽に楽しめます。ワイン・スペクテーターの「35ドル以下で驚くべき価値のあるイタリア白ワイン9選」にも選出される、コスパ抜群の1本です。
グランド・リザーヴ・ストレイツ・ソーヴィニヨン・ブラン,国内外のコンクールで多数の受賞歴があるニュージーランドの生産者、シレーニ。グランド・リザーヴは、すべて単一畑で収穫されたブドウから造られる上級シリーズです。こちらは、ソーヴィニヨン・ブランの本拠地であるボルドーでも認められた格別な味わい。シーフード料理、軽くスパイスの効いたアジア料理などと好相性です。
ロ・タンゴ・トロンテス,クリスタル・ガラスで有名なスワロフスキー社が所有するワイナリー。アルゼンチンの土着品種であるトロンテスを使用した白ワインです。よく冷えた状態ではライチやマスカットのような、爽やかでフレッシュな香り。温度が上がると、トロピカルフルーツやパイナップル、蜜の甘い香りに変化するユニークな1本です。
ピーツ・ピュア ソーヴィニヨン・ブラン,南オーストラリア随一の農業産地マレー・ダーリング南部に位置し、すべて自社畑栽培のブドウを使用し醸造も行うピーツ・ピュア。サステナブル農法を実践する他、再生可能エネルギーの利用によるCO2削減にも取り組んでいるワイナリーです。こちらはソーヴィニヨン・ブランを中心に3種のブドウで造る白ワイン。トロピカルフルーツのアロマと程よく丸みを帯びた酸味がバランスを形成しています。
ソアヴェ・クラシコ・モンテ・カルボナーレ,丘陵地、単一品種でのワイン造りにこだわる「最高品質のソアヴェ」生産者。粘土質の深い火山性土壌が特徴の単一区画から造られるトップキュヴェのひとつです。ステンレスタンクにて澱と共に12カ月間熟成後、6カ月間瓶内熟成。「この畑における最高の表現のひとつ」と評されるほど、テロワールやミネラルの表現に富んだ、キレのある味わい。ガンベロ・ロッソにて最高賞であるトレ・ビッキエリを何度も獲得する等、高評価連発のソアヴェ・クラシコです。
モンテス・クラシック・シリーズ・シャルドネ,モンテスは、チリワインの可能性と最高品質を追求し、世界のワインラヴァーに愛されるワイン造りを目指してスタートしたワイナリー。今やチリ最高峰ワイナリーとしての地位を確立しています。エノテカでも、常に売れ筋上位の超人気アイテムであり、世界的なベストセラーになったのも納得。上質なチリワインのスタンダードと言える白ワインです。
ヴィーニャ・エスメラルダ,”キング・オブ・スペイン”と呼ばれ、「世界で最も称賛されるワインブランド」にも選ばれた名門トーレス。こちらはエメラルドに輝く地中海をイメージして造られており、エノテカでも圧倒的な人気を誇る爽やかな白ワインです。花のニュアンスを帯びた華やかなアロマに、ほのかに甘い果実味と新鮮な酸味が心地よい味わいで、ワインを飲み始めの方にもおすすめ。ぜひ様々なシーンでお楽しみください。
ヴィントナーズ・リザーヴ・シャルドネ,ケンダル･ジャクソンは、アメリカで最多受賞歴を誇るカリフォルニア屈指のワイナリー。こちらのヴィントナーズ・リザーヴは、ワイン造りの中心を担う存在であり、原点のシリーズです。驚くほどのコクとボリューム感のある果実味に溢れており、ムニエルなどバター風味のお料理やクリーミーな味わいのドリア、アップルパイなどのデザートととも好相性。食事と一緒にお楽しみください。
カルタ・ドーロ,"ラッロは1860年創業のシチリアのワイナリーで、手掛けるワインがヴィニ・ディ・イタリア2014年版~2021年版まで8年連続で最高評価を獲得した、注目の生産者です。こちらはカタラットというシチリアの伝統品種を用いており、フローラルでフルーティーな香りが特徴。フレッシュで調和のとれた味わいは、1,000円台にもかかわらず、シチリアの魅力を存分に表現しています。"
クララ・ブラン,ボルドー・メドック格付けの一級シャトー、シャトー・オー・ブリオンを擁するクラレンス・ディロン。高品質かつ手頃な価格帯のワインを手掛けています。クララ・シリーズは、南仏の厳選したブドウで造るワイン。2023年ヴィンテージより赤と白、ロゼをリリースしました。太陽の恩恵を受けた、果実味豊かな味わいを楽しめます。そしてクララ・ブランは、ソーヴィニヨン・ブランやヴィオニエ、ロール（ヴェルメンティーノ）など、複数の香り豊かなブドウをブレンドして造る白ワイン。南フランスらしい、熟した桃やネクタリンなどのリッチな果実味に、蜂蜜や花梨、ライムの花の風味、そして海を連想させる塩味やハーブの清涼感が見事に調和した仕上がりです。
ピーツ・ピュア ピノ・グリージョ,南オーストラリア随一の農業産地マレー・ダーリング南部に位置し、すべて自社畑栽培のブドウを使用し醸造も行うピーツ・ピュア。サステナブル農法を実践する他、再生可能エネルギーの利用によるCO2削減にも取り組んでいるワイナリーです。こちらはピノ・グリージョを中心に3種のブドウで造る白ワイン。ピュアで透明感のある味わいが魅力の、ドライなスタイルに仕上がっています。
