name,text
カイケン・スパークリング・ブリュット,カイケンは、チリにおけるモンテス社の知識と経験、アルゼンチンの恵まれた土壌が見事に融合した、ハイコスパ・デイリーワインの代名詞。こちらのワインは、シャンパーニュと同じ瓶内二次発酵が採用され、ピノ・ノワール主体のしっかりとした骨格や複雑味に、シャルドネによる美しい酸とエレガンスが共存したふくらみのある仕上がり。手頃な価格でありながら、手間暇を掛けた製法によるクオリティの高い味わいを実現しています。
プロジェクト・クワトロ・カヴァ プレミアム・レゼルヴァ,数々の星付きレストランにオンリストされている実力派ワイナリー、クロ・モンブラン。「誰でも手を伸ばせて、しかもとびきり美味しいワインを」という信念の元に造られるワインは、モダンなテイストで人気を博しています。こちらはシャンパーニュを思わせるきめ細かな泡立ちと、凛とした上品な酸味が素晴らしい1本。高級感を感じさせる味わいで、手土産にもおすすめです。
プロジェクト・クワトロ・カヴァ,数々の星付きレストランにオンリストされている実力派ワイナリー、クロ・モンブラン。「誰でも手を伸ばせて、しかもとびきり美味しいワインを」という信念の下に造られるワインは、モダンなテイストで人気を博しています。こちらはシャンパーニュと同じ製法で仕立てられるスパークリングワイン。キレのある飲み口が料理との相性もよく、クールな見た目はお手土産にもおすすめ。様々なシーンでお楽しみください。
シロクマ・ブリュット マルヤマ・ズー,北海道札幌市の円山動物園とのスペシャルコラボで生まれた、なんとも愛らしいボトルデザインが印象的なスパークリングワイン。生き生きとした果実味広がるリッチなテイストながら、飲み口はキリッと爽やか!見て、飲んで楽しめる、パーティで活躍すること間違いなしのスパークリングワインです。
ランブルスコ・ディ・ソルバーラ・セッコ,カンティーナ・ディ・ソリエーラは1923年創業、複数のランブルスコ生産者から成るメディチ家所有の協同組合ワイナリー。こちらはソルバーラ種で仕立てる辛口赤スパークリング。イタリア料理はもちろん、繊細な味わいで海鮮やお寿司とも合わせてお楽しみいただけます。
エスパス・オブ・リマリ・ブリュット・スペシャル,チリ最大かつ最高のワインメーカー、コンチャ・イ・トロが手掛ける、注目度ワイナリー。こちらのブリュット・スペシャルは、その年最良の出来栄えだった区画のブドウから造られる特別なスパークリング。シャルドネとピノ・ノワールを絶妙にブレンドしており、ブルゴーニュにも通じる繊細な味わいです。
エスパス・オブ・リマリ・スパークリング・ロゼ,チリ最大かつ最高のワインメーカー、コンチャ・イ・トロが手掛ける、注目ワイナリー。こちらは冷涼な気候を生かして造られるピノ・ノワールとシャルドネを、絶妙にブレンドして造るロゼスパークリング。フルーティーな味わいで、キリリとした後味が魅力的です。様々な料理と相性が良く、日常の食卓を鮮やかに彩ってくれます。
ヴィーニャ・エスメラルダ スパークリング・ブリュット,”キング・オブ・スペイン”と呼ばれ、「世界で最も称賛されるワインブランド」にも選ばれた名門トーレス。こちらは地中海産のモスカテルを使用した、フレッシュなスパークリングワイン。モスカテル特有のフルーティーな果実味にフローラルなニュアンスがアクセントを加えた、エレガントなスタイルです。
カルテット・アンダーソン・ヴァレー ブリュット,老舗シャンパーニュメゾンが手掛ける、カリフォルニア産スパークリングワイン。リッチなアロマと美しい酸を併せ持つエレガントなスタイルが魅力。シャンパーニュをも超えるとの呼び声高い逸品です。アペリティフとしてはもちろん、スパイスを使ったアジア料理、クリームソースの魚料理や白身の肉料理と素晴らしい相性を見せます。
カ・ディ・ライオ スプマンテ・ブリュット,イタリア・ヴェネト州に拠点を置く、プロセッコの人気生産者。こちらは彼らのスタイルを気軽に楽しめる、香り高いアロマとフレッシュかつフルーティーなスパークリングワインです。ピュアな果実味と清々しい酸味のバランスのとれた味わいは、前菜やアペリティフ、魚介料理と相性抜群です。
プロジェクト・クワトロ・カヴァ ロゼ,数々の星付きレストランにオンリストされている実力派ワイナリー、クロ・モンブラン。「誰でも手を伸ばせて、しかもとびきり美味しいワインを」という信念の下に造られるワインは、モダンなテイストで人気を博しています。こちらはシャンパーニュと同じ製法で仕立てられるロゼスパークリングワイン。ドライフルーツやイーストの香りがあり、贅沢な余韻がお楽しみいただけます。
モンテス・スパークリング・エンジェル・ブリュット,こちらは、不動の人気を誇るプレミアム・チリワインの造り手、モンテスが仕立てる1本。その魅力は、36カ月という並みのシャンパーニュを優に超える長期熟成が生むクリーミーな泡に、力強くも優美で複雑味のある味わい。丁寧に仕立てられた上質な1本を堪能ください。
サングレ・デ・トロ・スパークリング・ブリュット,”キング・オブ・スペイン”と呼ばれ、「世界で最も称賛されるワインブランド」にも選ばれた名門トーレス。こちらはカヴァ・ブリュットに替わり、トーレスがグローバルな立ち位置のスパークリングワインを目指し、新発売した1本です。アペリティフとしてはもちろん、トマトのタルタル、シーフードなどの幅広い料理とお楽しみください。
シャッフェンベルガー ブリュット・エクセレンス,アメリカにおける最高品質のスパークリングワインを造ることを掲げて設立された造り手。現在は老舗シャンパーニュメゾン、ルイ・ロデレールの傘下でその品質に磨きをかけています。シャンパーニュの最低熟成期間を上回る長期の瓶内熟成により生まれる、リッチでクリーミーな味わいをお楽しみください。
ランブルスコ・グラスパロッサ・ディ・カステルヴェトロ・ドルチェ,カンティーナ・ディ・ソリエーラは1923年創業、複数のランブルスコ生産者から成るメディチ家所有の協同組合ワイナリー。こちらは濃厚でコクのある味わいが特徴のグラスパロッサ種から造られる甘口の赤スパークリング。食事からデザートまで幅広く合わせられる、親しみやすい味わいです。
コルテ・ジャーラ・プロセッコ・ミレッジマート・エクストラ・ドライ,ワイン評価誌ガンベロ・ロッソの2016年版にて、「ワイナリー・オブ・ザ・イヤー」を受賞しイタリア最高の生産者に輝いたアレグリーニ。こちらのプロセッコはヴィンテージ入りで造られる1本。力強い果実味を適度な酸が綺麗にまとめるバランスに優れたスタイルです。
ノミネ・ルナール ブリュット,ミシュラン星付きレストランにもオンリストされる、実力派メゾンの1つ。こちらは毎年変わらぬ高い品質を保つ、5つの村の小さな畑で育てる良質なブドウを使用して仕立てられる1本です。もぎたて果実のようなピュアな果実味が溢れる逸品。繊細さと上品さを兼備した美しいスタイルをお楽しみいただけます。
カザル・ガルシア・ブランコ,ヴィーニョ・ヴェルデの世界No.1ブランドとして君臨するアヴェレーダ。ワイン・プロデューサー・オブ・ザ・イヤーにも選ばれるなど、ポルトガルを代表する生産者です。こちらは彼らの代名詞であるヴィーニョ・ヴェルデ。微発泡で繊細な味わいはアペリティフや魚介類、和食との相性が抜群。ぜひキリっと冷やしてお召し上がりください。
カルテット・アンダーソン・ヴァレー ブリュット [ハーフボトル],老舗シャンパーニュメゾンが手掛ける、カリフォルニア産スパークリングワイン。リッチなアロマと美しい酸を併せ持つエレガントなスタイルが魅力。シャンパーニュをも超えるとの呼び声高い逸品です。アペリティフとしてはもちろん、スパイスを使ったアジア料理、クリームソースの魚料理や白身の肉料理と素晴らしい相性を見せます。
ルイ・ロデレール コレクション 245 [ボックス付] [ハーフボトル],数々の受賞歴を誇る世界最高峰の老舗シャンパーニュ・メゾン、ルイ･ロデレール。「世界で最も称賛されるシャンパーニュ・ブランド」においては6年連続で第1位に選ばれ、名実ともに世界No.1の造り手として、不動の地位を築いています。こちらのコレクションは、そんなメゾンのスタイルが詰め込まれた、いわばメゾンの顔ともいうべきキュヴェ。ブレンドによって異なるヴィンテージやテロワールを表現するというコンセプトのもと誕生しました。
クレマン・ド・ボルドー・ブリュット,ボルドー地方のでスパークリングワインを手掛ける生産者。ボルドー最大の協同組合に属し、ワイン造りを行っています。こちらのワインは、メルロとセミヨンを使用したクレマン・ド・ボルドー。爽やかで味わい深いスタイルが魅力です。
ジョエア・オーガニック・スパークリング・シャルドネ [ハーフボトル],ジョエアは、フランスの新進気鋭ワイナリー、シャヴァンとエノテカが共同開発したワインテイスト飲料。オーガニック栽培されたブドウを使用し、独自製法による低カロリーの実現、まさに健康志向というトレンドにピッタリの1本です。アルコール度数0.1%未満でありながらも、スパークリングワイン風味に仕立てた本格派の仕上がりとなっております。※ワインテイスト飲料(アルコール度数が0.005%以上0.5%未満の飲料)
ソルシ,ワインの調和をイメージして楽器のハープの名前を冠した、イル・ボッロの卓越したセンスを受け継ぐシリーズ。ちょっとした手土産やプチ贅沢な休日のひとときに、シャンパーニュ製法ならではのきめ細やかな泡立ちが楽しめるスパークリングワインはいかがでしょうか。ワンランク上の日常を演出してくれる1本です。
エスパス・オブ・リマリ・ブリュット・スペシャル [ハーフボトル],チリ最大かつ最高のワインメーカー、コンチャ・イ・トロが手掛ける、注目度ワイナリー。こちらのブリュット・スペシャルは、その年最良の出来栄えだった区画のブドウから造られる特別なスパークリング。シャルドネとピノ・ノワールを絶妙にブレンドしており、ブルゴーニュにも通じる繊細な味わいです。
ベルスター・キュヴェ・ロゼ,イタリア最高の造り手100社のひとつに選ばれたこともある、プロセッコのトップに君臨する名生産者。こちらは、そんな造り手が手掛けるロゼ・スパークリングです。フランボワーズやチェリーのような赤系果実、バラの華やかな香り。溌剌としたスタイルで、オレンジのような柑橘系風味も魅力です。
モスカート・ダスティ,ピエモンテにおいて、初めて「クリュ」の概念を導入したワイナリー。バローロの品質を劇的に向上させるきっかけとなる革新的なワインをリリースし、「ピエモンテのワインと言えばプルノット」と言われる名門です。こちらのモスカート・ダスティは、凝縮した果実味と程良い酸が感じられ、バランスの取れた味わいが魅力。ビスケットやクッキーと相性抜群なコクを感じる甘口ワインです。
カ・ディ・ライオ スプマンテ・ブリュット [ハーフボトル],イタリア・ヴェネト州に拠点を置く、プロセッコの人気生産者。こちらは彼らのスタイルを気軽に楽しめる、香り高いアロマとフレッシュかつフルーティーなスパークリングワインです。ピュアな果実味と清々しい酸味のバランスのとれた味わいは、前菜やアペリティフ、魚介料理と相性抜群です。
ベルスター,イタリア最高の造り手100 社のひとつに選ばれたこともある、プロセッコのトップに君臨する名生産者。こちらは、クリーミーな泡立ちでスッキリ爽やかな1本。ほんのり果実味が残る、甘さ控えめな味わいなので、食前酒としてだけではなく、さまざまな料理に合わせて楽しめる優れものです。
レオパーズ・リープ・キュヴェ・ブリュット,南アフリカ有数の銘醸地を拠点とするレオパーズ・リープ。こちらは、レオパーズ・リープとエノテカが共同で造り上げたスパークリングワインです。 白桃やライム、レモンなどの柑橘系果実のアロマ。フレッシュなメロンやトロピカルフルーツの味わいと爽快でキレのある余韻が魅力です。
